sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
AE_2.1,256412,0.3887153819646102,0.06550178702638544,0.010881346804513612,-0.013026321477116805,-0.006580552753697286,-0.00017780497085149975,-0.0028766722004411895,-0.003859893344056965,0.0053045849742706765,0.0,0.0,0.0
AE_2.4,256413,0.386596962035739,0.06438743514321142,0.006424802944197863,0.009505289175317174,0.0027372169221737664,0.0015977100900698993,0.0021804483410972817,0.004415242807302962,-0.005430831771633563,0.0,0.0,0.0
BE_2.1,256414,-0.03431712684288268,-0.09101951689991607,0.024371787185731113,0.0020209241195362753,0.014609477766869907,-0.026335342165822603,-0.030531663562211854,-0.003796183554879243,-0.0006347748024526971,0.0,0.0,0.0
BE_2.4,256415,-0.12479194543093929,0.008122547410736874,0.21691569402402125,0.01982106790509729,-0.021407273916890124,0.0019131488124001547,0.002100600867056229,0.00043779002836216875,-0.0003048836381392293,0.0,0.0,0.0
CE_2.1,256416,-0.046363483849389084,-0.0803350963033683,0.0160551066841371,-0.017388386066980118,0.02192152512595493,0.013167918792649965,0.007288515188146684,0.0160247412074172,0.0037064143935716053,0.0,0.0,0.0
CE_2.4,256417,-0.0454311115019529,-0.08991317427057752,0.013829934751936543,-0.045687031620546784,0.05945499911078175,0.005781336351428575,0.011020460018357037,-0.008288699504197049,-0.0018713365478353304,0.0,0.0,0.0
DE_2.1,256418,-0.050504592595979135,-0.08174065643909256,-0.054871780994118546,-0.011555065511515961,-0.02605231819563406,-0.030220179553514116,0.006694528136768694,-0.008947116008213376,0.0014213795105114035,0.0,0.0,0.0
DE_2.4,256419,-0.05541559189267982,-0.08437194374565543,-0.054921305428493446,-0.02414754905725204,-0.036708821815411026,-0.016373096321429796,0.00725086648410937,0.013529329464684865,-0.0020730685091936013,0.0,0.0,0.0
EE_2.1,256420,-0.05040629529981248,-0.09736011626335118,-0.0463185096583371,-0.006771531072338882,-0.03551123766380784,0.049152027745507844,-0.008496321861489705,-0.008428065809166118,-0.0007656285854743158,0.0,0.0,0.0
EE_2.4,256421,-0.03769367444845494,-0.060991838610575326,-0.06708315580458124,0.0958925197374089,0.022778392966312865,0.0027118758474302396,0.0022718791822038424,0.0018146945232711926,0.0007124963893400327,0.0,0.0,0.0
IE_2.1,256422,-0.1330990139495798,0.18768033446668483,-0.015471703610080349,0.010781316477847571,-0.004602609829668041,-0.006767482768823176,0.020822135735782434,-0.008518788622646684,-4.614192607239977e-05,0.0,0.0,0.0
IE_2.4,256423,-0.19728950818867833,0.2600402384855177,-0.049812216898927286,-0.01944523260945639,0.009361202283015563,0.005549888140955134,-0.017724776329377807,0.0056169488121207735,-1.8209486907236147e-05,0.0,0.0,0.0
proportion_explained,0,0.6037300662063433,0.25094592607596317,0.09910319450276438,0.021018232436036424,0.013472942711159577,0.007143417119176121,0.0031867375323374287,0.0012705886097631115,0.00012889480645651957,0.0,0.0,0.0
