ITS2 type profile UID		1576497	1576988	1576986	1576989
Clade		A	B	B	B
Majority ITS2 sequence		A2ba	B8a	B8a	B8a
Associated species		None	None	None	None
ITS2 profile abundance local		1	8	2	2
ITS2 profile abundance DB		2	16	4	4
ITS2 type profile		A2ba	B8a-B1gb-B8f-B8i-B1ga-B1is	B8a-B1ir-B1iq-B19bw-B8j-B8i-B8k	B8a-B1is-B8f-B8l-B8i
256416	CE_2.1	0	0.9066587666924935	0	0
256420	EE_2.1	0	0.9032735632984699	0	0
256419	DE_2.4	0	0.8944636459164166	0	0
256414	BE_2.1	0	0.8935729157237259	0	0
256418	DE_2.1	0	0.8934492266274351	0	0
256417	CE_2.4	0	0.8909883720930233	0	0
256415	BE_2.4	0	0.875257568552861	0	0
256421	EE_2.4	0	0.8106993586342354	0	0
256413	AE_2.4	0	0	0.7258130113094214	0
256412	AE_2.1	0	0	0.7238047968359798	0
256423	IE_2.4	0	0	0	0.9108247074598933
256422	IE_2.1	0.0017674305216967333	0	0	0.9071387940841866
Sequence accession / SymPortal UID		779206	29324-322255-51013-326410-2541295-368726	29324-5624206-89664-3690569-89112-326410-5624207	29324-368726-51013-2541291-326410
Average defining sequence proportions and [stdev]		1.000[nan]	0.697[0.043]-0.093[0.025]-0.088[0.036]-0.046[0.010]-0.044[0.009]-0.033[0.009]	0.576[0.004]-0.151[0.003]-0.074[0.003]-0.061[0.001]-0.052[0.000]-0.044[0.002]-0.043[0.000]	0.770[0.014]-0.090[0.017]-0.054[0.005]-0.043[0.001]-0.043[0.008]
