sample_uid	A2ba	5624222_A	5624223_A	5624224_A	B8a	B8f	B1gb	B8i	B1is	B1ga	B1ir	2541448_B	51043_B	698733_B	B1iq	B8j	B8l	B19bw	5624220_B	B8k	2541383_B	2541329_B	5624208_B	5624209_B	5624217_B	B8h	2541307_B	3690898_B	5624210_B	2541457_B	5624211_B	3690660_B	5624227_B	5624226_B	5624212_B	5624785_B	2541615_B	2541392_B	5624228_B	5624214_B	5624213_B	5624229_B	5624215_B	5624216_B	B8d	3691359_B	4349209_B	3692159_B	5624218_B	B8	3691003_B	2546212_B	5624221_B	3690876_B	5624219_B	5625024_B	5624230_B	2541475_B	324133_B	5624283_B	5624225_B	5625068_B	5624331_B
256416	0	0	0	0	69649	9581	8387	5119	2660	4069	0	1808	2518	1216	0	0	0	0	999	0	705	774	0	0	0	0	0	0	0	0	0	1133	0	1087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
256420	0	0	0	0	77686	4764	10787	3763	2144	4578	0	1993	2034	1756	0	0	0	0	0	0	767	1124	0	0	0	0	0	0	0	0	0	0	2928	0	0	505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
256419	0	0	0	0	46323	6457	8185	2765	3093	3828	0	1229	2370	1416	0	0	0	0	0	0	479	832	0	0	0	0	1401	0	0	0	0	0	0	0	0	609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
256414	0	0	0	0	72891	6694	6112	5385	2921	4710	0	1997	1813	1536	959	0	0	0	3006	0	659	925	0	0	0	0	0	0	0	862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
256418	0	0	0	0	119610	15362	20310	6632	7902	8730	0	3332	4080	3650	0	0	0	0	0	0	1805	2832	0	0	0	0	3069	0	0	1568	0	0	0	0	0	957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
256417	0	0	0	0	45154	3576	5917	3462	1948	3082	0	1461	1131	858	0	0	0	0	539	0	567	573	0	0	0	0	0	0	0	0	0	1083	0	1044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	469	0	0	0
256415	0	0	0	0	11930	1637	862	941	476	720	0	0	0	0	399	412	263	0	626	0	0	0	0	0	361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
256421	0	0	0	0	54312	14358	9968	2946	3444	2063	0	4028	3189	4048	0	0	0	0	0	0	1361	0	0	0	0	0	0	0	0	1496	0	0	0	0	0	641	0	0	2165	0	0	1935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	891	0	0	0	0	582	0
256413	0	0	0	0	106422	5886	0	8349	0	0	27666	0	0	1365	14073	9611	0	11472	0	8009	0	0	5808	4633	1911	4178	0	4277	4081	0	3213	0	0	0	2990	0	2701	0	0	2357	2283	0	2022	2156	2001	1495	0	2092	2106	1927	1933	1970	0	1843	1721	1409	0	1756	0	0	0	0	0
256412	0	0	0	0	107129	5672	0	7817	0	0	28346	0	0	0	13285	9488	0	11075	0	8065	0	0	6524	4604	1981	4301	0	4132	4067	0	3368	0	0	0	3275	0	2589	0	0	2418	2410	0	2305	2162	2237	2687	0	1887	1851	2025	1974	1858	0	1629	1616	1380	0	0	1720	0	0	0	0
256423	0	0	0	0	71810	5438	1031	3498	9661	1244	0	1833	1217	706	0	0	4010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	689	0	0	0	0	0	0	0	566	0	460
256422	261	13	8	4	104448	6788	3406	6497	10392	1706	0	1997	1253	2259	0	0	5834	0	0	0	781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1118	0	0	0	0	0	0	0	0	0	0
