Sample,Colony,Time,Result,OvC,A2ba,B8a-B1gb-B8f-B8i-B1ga-B1is,B8a-B1ir-B1iq-B19bw-B8j-B8i-B8k,B8a-B1is-B8f-B8l-B8i
AE_2.1,A,0,N,N,0,0,0.723804797,0
AE_2.4,A,1,N,N,0,0,0.725813011,0
BE_2.1,B,0,N,N,0,0.893572916,0,0
BE_2.4,B,1,N,N,0,0.875257569,0,0
CE_2.1,C,0,H,Y,0,0.906658767,0,0
CE_2.4,C,1,H,Y,0,0.890988372,0,0
DE_2.1,D,0,H,Y,0,0.893449227,0,0
DE_2.4,D,1,H,N,0,0.894463646,0,0
EE_2.1,E,0,N,Y,0,0.903273563,0,0
EE_2.4,E,1,N,Y,0,0.810699359,0,0
IE_2.1,I,0,H,N,0.001767431,0,0,0.907138794
IE_2.4,I,1,H,N,0,0,0,0.910824707
