Sample,Colony,Time,Result,OvC,A2ba,B8a,B8f,B1gb,B8i,B1is,B1ga,B1ir,B1iq,B8j,B8l,B19bw,B8k,B8h,B8d,B8
AE_2.1,A,0,N,N,0,0.418673816,0.022166901,0,0.030549834,0,0,0.110779789,0.051919477,0.037080316,0,0.043282515,0.03151905,0.016808857,0.008742482,0.007913959
AE_2.4,A,1,N,N,0,0.416172629,0.023017723,0,0.032649502,0,0,0.108190336,0.055033709,0.037584664,0,0.044862269,0.031319902,0.016338438,0.007825087,0.007535704
BE_2.1,B,0,N,N,0,0.659826197,0.060595637,0.055327238,0.048746266,0.026441568,0.04263601,0,0.00868109,0,0,0,0,0,0,0
BE_2.4,B,1,N,N,0,0.630316479,0.086490199,0.045543404,0.049717335,0.025149258,0.038040894,0,0.021080995,0.021767845,0.013895493,0,0,0,0,0
CE_2.1,C,0,H,Y,0,0.634875348,0.087334214,0.076450481,0.046661501,0.024246844,0.037090379,0,0,0,0,0,0,0,0,0
CE_2.4,C,1,H,Y,0,0.637192368,0.050462858,0.083497968,0.048854143,0.027489275,0.043491759,0,0,0,0,0,0,0,0,0
DE_2.1,D,0,H,Y,0,0.598531818,0.076871882,0.101631814,0.033186715,0.039541831,0.043685167,0,0,0,0,0,0,0,0,0
DE_2.4,D,1,H,N,0,0.586463595,0.081747629,0.103624647,0.03500576,0.039158343,0.048463671,0,0,0,0,0,0,0,0,0
EE_2.1,E,0,N,Y,0,0.676536415,0.041487777,0.093939684,0.032770467,0.018671242,0.039867978,0,0,0,0,0,0,0,0,0
EE_2.4,E,1,N,Y,0,0.505571225,0.133653551,0.092788591,0.027423273,0.03205898,0.019203738,0,0,0,0,0,0,0,0,0
IE_2.1,I,0,H,N,0.001767431,0.707297253,0.045966737,0.02306463,0.043996154,0.070372176,0.01155263,0,0,0,0.039506474,0,0,0,0,0
IE_2.4,I,1,H,N,0,0.692738831,0.052459459,0.009945881,0.03374461,0.09319802,0.012000656,0,0,0,0.038683787,0,0,0,0,0
