Sample,Temp,Tank,Treatment,Week,MC,R,Pnet,Pgross,PRDAILY,cells,Necrosis,AvgT,Mortality
AC1.1,29,C1,Ctrl,1,A,0.056189985,0.113739404,0.169929389,1.512096764,7472.063056,0,2.289473684,0
AC1.2,29,C1,Ctrl,2,A,0.022371766,0.289128446,0.311500212,6.96190484,9017.540584,0,2.131578947,0
AC1.3,29,C1,Ctrl,3,A,0.064102062,0.154490582,0.218592644,1.705035978,4453.718572,0,2.763157895,0
AC1.4,29,C1,Ctrl,4,A,0.047842993,0.110552452,0.158395445,1.655367224,280.6965487,0,2,0
AC2.1,29,C2,Ctrl,1,A,0.211960846,0.11143945,0.323400296,0.762877442,5624.895682,0,1.394736842,0
AC2.2,29,C2,Ctrl,2,A,0.207239736,0.124627085,0.331866821,0.800683371,7440.170104,0,1.578947368,0
AC2.3,29,C2,Ctrl,3,A,0.144669163,0.073286352,0.217955515,0.753289473,4215.06242,0,1.368421053,0
AC2.4,29,C2,Ctrl,4,A,0.096279148,0.087897705,0.184176853,0.956473218,4476.232774,0,1.236842105,0
AE1.1,30,E1,Exp,1,A,0.048964452,0.433563143,0.482527595,4.927325593,1644.162635,0,0.973684211,0
AE1.2,31,E1,Exp,2,A,0.012517176,0.090874701,0.103391877,4.130000129,1841.204244,0,0.421052632,0
AE1.3,32A,E1,Exp,3,A,0.058102588,0.068800177,0.126902765,1.092057767,1437.71403,0,0,0
AE1.4,32B,E1,Exp,4,A,0.032656441,0.06640143,0.099057871,1.516666666,43.62799975,1,0,0
AE2.1,30,E2,Exp,1,A,0.080536982,0.088610371,0.169147353,1.050122247,2102.656768,0,1.394736842,0
AE2.2,31,E2,Exp,2,A,0.021455509,0.083114059,0.104569568,2.436893201,2334.272499,0,0.894736842,0
AE2.3,32A,E2,Exp,3,A,0.086732419,0.067629329,0.154361748,0.889873416,505.9421443,1,0.815789474,0
AE2.4,32B,E2,Exp,4,A,0.103158971,0.011283671,0.114442642,0.554690692,671.9875375,1,0,0
BC1.1,29,C1,Ctrl,1,B,0.107108566,0.352898745,0.460007311,2.147388058,3608.046569,0,2.736842105,0
BC1.2,29,C1,Ctrl,2,B,0.047519817,0.180224926,0.227744743,2.396313342,5044.583629,0,2.842105263,0
BC1.3,29,C1,Ctrl,3,B,0.082411179,0.18597213,0.268383309,1.628318586,2638.873949,0,2.894736842,0
BC1.4,29,C1,Ctrl,4,B,0.07341595,0.193070738,0.266486688,1.81491003,543.9049054,0,2.657894737,0
BC2.1,29,C2,Ctrl,1,B,0.125681419,0.065618199,0.191299618,0.761049722,4406.709446,0,0.842105263,0
BC2.2,29,C2,Ctrl,2,B,0.249674572,0.15076503,0.400439602,0.801923077,3274.281381,0,1.473684211,0
BC2.3,29,C2,Ctrl,3,B,0.306479567,0.084717929,0.391197496,0.638211382,2491.819816,0,0.526315789,0
BC2.4,29,C2,Ctrl,4,B,0.121304175,0.10623856,0.227542735,0.937901498,2425.762079,0,0.342105263,0
BE1.1,30,E1,Exp,1,B,0.045201184,0.379047491,0.424248675,4.692893387,1441.620861,0,0.894736842,0
BE1.2,31,E1,Exp,2,B,0.007817234,0.081611926,0.08942916,5.720000194,2588.750188,0,0,0
BE1.3,32A,E1,Exp,3,B,0.080073189,0.064552394,0.144625583,0.903083696,663.1455962,1,0,0
BE1.4,32B,E1,Exp,4,B,0.108956958,0.130748349,0.239705307,1.099999997,56.84429935,1,0,1
BE2.1,30,E2,Exp,1,B,0.045887604,0.080108868,0.125996472,1.372881356,1364.185227,0,0,0
BE2.2,31,E2,Exp,2,B,0.043169357,0.088911723,0.13208108,1.529801336,1818.913635,0,0,0
BE2.3,32A,E2,Exp,3,B,0.10299093,0.085407113,0.188398043,0.914634148,454.4923089,1,0,0
BE2.4,32B,E2,Exp,4,B,0.130522472,0.054054761,0.184577233,0.707070707,670.0857703,1,0,1
CC1.1,29,C1,Ctrl,1,C,0.098482648,0.423955791,0.522438439,2.652439032,4327.897575,0,2.921052632,0
CC1.2,29,C1,Ctrl,2,C,0.076623777,0.250173356,0.326797133,2.132478623,6100.152369,0,2.552631579,0
CC1.3,29,C1,Ctrl,3,C,0.037095654,0.093522847,0.130618501,1.760563394,5282.998343,0,2.710526316,0
CC1.4,29,C1,Ctrl,4,C,0.04266831,0.165691662,0.208359972,2.441624381,712.7265754,0,2.131578947,0
CC2.1,29,C2,Ctrl,1,C,0.074627814,0.002607085,0.077234899,0.517467248,4092.55568,0,1.684210526,0
CC2.2,29,C2,Ctrl,2,C,0.238873798,0.133365401,0.372239199,0.77915452,6494.253425,0,1.894736842,0
